,en,ru
EncourageText_4,"You did fine, but now it's time to rest. One step at a time.","Ты хорошо постарался, но пора отдохнуть. Шаг за шагом все выйдет."
EncourageText_5,"Slow and steady you'll get this, but rest comes first.","Медленно, но верно, ты все сможешь, но сейчас отдых на первом месте."
EncourageText_6,"...","..."
NatureOfThisPlace_1,"This place is weird...","Эта комната такая странная..."
NatureOfThisPlace_2,"Too many chairs, the bed is too big and the TV is without wires...","Так много стульев, слишком большая кровать и телевизор без проводов..."
NatureOfThisPlace_3,"Why two of the chairs are flying anyway?","Почему два стула вообще летают?"
NatureOfThisPlace_4,"I don't even have so many friends to use all of the chairs!","У меня даже нет столько друзей, чтобы использовать все стулья!"
NatureOfThisPlace_5,"Not like there's anyone besides Asya who I can take here...","Не то чтобы я мог кого-либо сюда позвать кроме Аси..."
NatureOfThisPlace_6,"I want to get out of here...","Я хочу выбраться отсюда уже..."
Melodramas_1,"I wonder, can this TV show me something interesting?","Интересно, этот телевизор может показать мне что-нибудь интересное?"
Melodramas_2,"Hmm... There's not much of anything... Okay, let's check what this is.","Хмм... Тут не так много всего... Ладно, посмотрим, что тут."
Melodramas_3,"On the TV screen for the next two minutes, the beginning of the story unfolds about a girl who came from the province to the capital.","На экране телевизора в течение следующих двух минут разворачивается начало сюжета про девушку, приехавшую из провинции в столицу."
Melodramas_4,"Salim understands that this is a film made for housewifes.","Салим понимает, что он включил фильм для домохозяек."
Melodramas_5,"There isn't anything else?! Damn!","Тут нет ничего другого?! Да блин!"
Melodramas_6,"I must watch this in my spare time while I locked here...?","Неужели пока я заперт тут я вынужден смотреть это в свободное время...?"
Melodramas_7,"Half an hour later.","Спустя полчаса."
Melodramas_8,"No, he's a dick, damn, don't talk to him!","Нет, он мудак, ну блин, ну не надо с ним говорить!"
Melodramas_9,"There's a man of the dreams right beside you, stupidhead, you can spend your whole life with him!","Вот тут вот рядом есть мужчина мечты, с которым не грех провести всю свою жизнь, дура!"
Melodramas_10,"Just look at him, anyone would dream about husband like this!","Просто посмотри на его тело, ну любой мечтает о таком муже!"
Melodramas_11,"Maybe this was... redundant...","Возможно это было... лишним..."
Melodramas_12,"Another hour later.","Спустя еще час."
Melodramas_13,"'I am so happy to see you again, son!'","'Сын, я так рада увидеть тебя снова!'"
Melodramas_14,"'Mom, will uncle Vanya be with us?'","'Мама, я дядя Ваня останется с нами?'"
Melodramas_15,"*sobbing* Of course!","*хнычет* Конечно!"
Melodramas_16,"'Of course!'","'Конечено!'"
Melodramas_17,"Finally she has found a perfect man...","Наконец-то она нашла идеального мужчину..."
Melodramas_18,"Wow! How much time I spent here?","Ух! Как много времени я потратил на это?"
Melodramas_19,"This film was a mistake...","Этот фильм был ошибкой..."
Repeat_1,"I passed out and woke up here again. I will go out again and I will end up here again.","Я отключился снова и появился здесь. Я выйду снова и снова окажусь здесь в конце."
Repeat_2,"It all feels familiar, but I can't put it right...","Все это ощущается знакомо, но я не могу сформулировать мысль..."
Repeat_3,"I guess it's not important for now. All I should do - bring back my memories.","Полагаю это не так важно сейчас. Все что я должен сделать - вернуть себе воспоминания."
Repeat_4,"If only while I'm on it, everyone around wouldn't try to beat me up...","Вот бы пока я пытался это делать меня не пытались избить до бессознательного состояния все вокруг..."
Repeat_5,"Maybe I should start talking more to my enemies, huh?","Может мне стоит начать говорить с врагами, хм?"
Repeat_6,"'Hey, sir with camera-head, why won't we drink some tea and discuss our problems?","'Хей мистер с камерой вместо башки, почему бы нам не выпить чаю и не обсудить наши проблемы?'"
Repeat_7,"How will he be drinking tea if he doesn't have a mouth?","Хотя как он будет пить чай, если у него нет рта?"
Repeat_8,"Is it even 'he', what if this is 'she'? What if I misgender... them?","'Он' ли это вообще? Что если это будет 'она'? Что если я неправильно обращусь к... ним?"
